             x=-,0.104, y=0.413, z,=0.960 m (x-r,i        Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
             x=-,0.104, y=0.413, z,=0.960 m (x-r,ight, y-fwd, z-up,)
,,,,,,,,
Body to Sensor R,otations:
,,,,,,,,,,,
             xRo,t=0.000, yRot=90.,000, zRot=180,.000 degrees (Rot,ate IMU into Vehi,cle Frame)
,,,,,,,

,,,,,,,,,,,,
        Latitude,        Longitude,        H-Ell,         Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
      (+/-D M S),       (+/-D M S),          (m),       (+/-D M S),       (+/-D M S),          (m),         (sec),          (deg),          (deg),          (deg),     (m/s),     (m/s),     (m/s)
  33 18 39.89141,  -97 33 13.28138,     3494.237,   33 18 39.89141,  -97 33 13.28138,     3494.237, 1271009642.00, -15.8078028466,   0.3544546104,   0.1004566902,     1.169,    52.716,     0.025
  33 18 41.60148,  -97 33 13.23676,     3494.271,   33 18 41.60148,  -97 33 13.23676,     3494.271, 1271009643.00, -15.9018366800,   0.3706292089,   0.5461777478,     1.158,    52.714,     0.042
  33 18 43.31164,  -97 33 13.19127,     3494.289,   33 18 43.31164,  -97 33 13.19127,     3494.289, 1271009644.00, -15.8484026360,   0.2722466259,   0.9006037103,     1.210,    52.725,    -0.008
  33 18 45.02245,  -97 33 13.14287,     3494.275,   33 18 45.02245,  -97 33 13.14287,     3494.275, 1271009645.00, -15.5772045228,   0.3128636040,   1.0775961028,     1.310,    52.744,     0.023
  33 18 46.73415,  -97 33 13.08946,     3494.257,   33 18 46.73415,  -97 33 13.08946,     3494.257, 1271009646.00, -15.2659681189,   0.2401151528,   0.7664972087,     1.444,    52.786,    -0.043
  33 18 48.44687,  -97 33 13.03189,     3494.229,   33 18 48.44687,  -97 33 13.03189,     3494.229, 1271009647.00, -14.9427225196,   0.2157930944,   0.0986747915,     1.517,    52.800,    -0.011
  33 18 50.15995,  -97 33 12.97291,     3494.180,   33 18 50.15995,  -97 33 12.97291,     3494.180, 1271009648.00, -14.9754040323,   0.2006670086,  -0.5783435984,     1.512,    52.808,    -0.058
  33 18 51.87243,  -97 33 12.91726,     3494.160,   33 18 51.87243,  -97 33 12.91726,     3494.160, 1271009649.00, -15.2310119638,   0.2954342279,  -1.2184921542,     1.352,    52.768,     0.030
  33 18 53.58292,  -97 33 12.86944,     3494.223,   33 18 53.58292,  -97 33 12.86944,     3494.223, 1271009650.00, -15.6636982316,   0.4183852412,  -1.2302664369,     1.125,    52.682,     0.102
  33 18 55.29051,  -97 33 12.83040,     3494.372,   33 18 55.29051,  -97 33 12.83040,     3494.372, 1271009651.00, -16.0426124102,   0.4797604802,  -0.8644156959,     0.910,    52.592,     0.181
  33 18 56.99519,  -97 33 12.79866,     3494.543,   33 18 56.99519,  -97 33 12.79866,     3494.543, 1271009652.00, -16.2000898602,   0.5034007188,  -0.2460681843,     0.759,    52.516,     0.158
  33 18 58.69787,  -97 33 12.77041,     3494.718,   33 18 58.69787,  -97 33 12.77041,     3494.718, 1271009653.00, -16.2995266856,   0.4579995431,   0.3634271295,     0.725,    52.459,     0.161
  33 19 00.39941,  -97 33 12.74187,     3494.853,   33 19 00.39941,  -97 33 12.74187,     3494.853, 1271009654.00, -16.1822307657,   0.4877704302,   0.6213669992,     0.764,    52.442,     0.128
  33 19 02.10021,  -97 33 12.71088,     3494.988,   33 19 02.10021,  -97 33 12.71088,     3494.988, 1271009655.00, -16.0567186311,   0.4579193290,   0.5870353682,     0.835,    52.414,     0.138
  33 19 03.80042,  -97 33 12.67711,     3495.091,   33 19 03.80042,  -97 33 12.67711,     3495.091, 1271009656.00, -15.9189566589,   0.4369949103,   0.5017276820,     0.908,    52.402,     0.091
  33 19 05.50003,  -97 33 12.64062,     3495.204,   33 19 05.50003,  -97 33 12.64062,     3495.204, 1271009657.00, -15.8827228079,   0.4441912603,   0.3218647710,     0.974,    52.380,     0.134
  33 19 07.19876,  -97 33 12.60287,     3495.288,   33 19 07.19876,  -97 33 12.60287,     3495.288, 1271009658.00, -15.8028009251,   0.3378674822,   0.0228094498,     0.971,    52.347,     0.025
  33 19 08.89666,  -97 33 12.56549,     3495.289,   33 19 08.89666,  -97 33 12.56549,     3495.289, 1271009659.00, -15.7304248964,   0.3925276559,  -0.1061576203,     0.958,    52.323,     0.003
  33 19 10.59348,  -97 33 12.52901,     3495.334,   33 19 10.59348,  -97 33 12.52901,     3495.334, 1271009660.00, -15.7974896063,   0.4355052201,  -0.2774605419,     0.919,    52.289,     0.083
  33 19 12.28861,  -97 33 12.49473,     3495.433,   33 19 12.28861,  -97 33 12.49473,     3495.433, 1271009661.00, -15.9420124805,   0.4962100985,  -0.3114770462,     0.854,    52.215,     0.115
