  31 09 03.55512,  -97 24 43.89896,      181.503,         Latitude,        Longitude,        H-Ell,      CorrTime,        Heading,          Pitch,           Roll,     VEast,    VNorth,       VUp
  30 56 15.97867,  -97 41 49.99771,     2806.499,   30 56 15.97867,  -97 41 49.99771,     2806.499, 1266458052.00, -131.500798749,  -0.4886699739,   1.5295566707,   -36.011,   -41.744,    -1.443
  30 56 14.62228,  -97 41 51.35729,     2805.042,   30 56 14.62228,  -97 41 51.35729,     2805.042, 1266458053.00, -131.359283903,  -0.5275337011,   1.8722369984,   -36.216,   -41.828,    -1.484
  30 56 13.26435,  -97 41 52.72570,     2803.550,   30 56 13.26435,  -97 41 52.72570,     2803.550, 1266458054.00, -131.271856273,  -0.6003451777,   1.6387280490,   -36.463,   -41.859,    -1.515
  30 56 11.90420,  -97 41 54.10231,     2802.037,   30 56 11.90420,  -97 41 54.10231,     2802.037, 1266458055.00, -131.073498285,  -0.6029635949,   1.2178160640,   -36.658,   -41.958,    -1.499
  30 56 10.54087,  -97 41 55.48612,     2800.588,   30 56 10.54087,  -97 41 55.48612,     2800.588, 1266458056.00, -131.060755703,  -0.5126940942,   1.3866896445,   -36.849,   -42.043,    -1.391
  30 56 09.17520,  -97 41 56.87669,     2799.271,   30 56 09.17520,  -97 41 56.87669,     2799.271, 1266458057.00, -131.141857879,  -0.3403942261,   1.8364844320,   -37.018,   -42.101,    -1.227
  30 56 07.80884,  -97 41 58.27424,     2798.154,   30 56 07.80884,  -97 41 58.27424,     2798.154, 1266458058.00, -131.002801022,  -0.1453708518,   2.2237294170,   -37.219,   -42.078,    -0.999
  30 56 06.44455,  -97 41 59.67958,     2797.266,   30 56 06.44455,  -97 41 59.67958,     2797.266, 1266458059.00, -130.728892819,   0.0805979730,   2.6937668034,   -37.435,   -41.962,    -0.775
  30 56 05.08543,  -97 42 01.09363,     2796.615,   30 56 05.08543,  -97 42 01.09363,     2796.615, 1266458060.00, -130.423701119,   0.2352564707,   2.7865687775,   -37.676,   -41.766,    -0.538
  30 56 03.73304,  -97 42 02.51622,     2796.179,   30 56 03.73304,  -97 42 02.51622,     2796.179, 1266458061.00, -130.182033251,   0.3411276121,   2.0394432718,   -37.872,   -41.575,    -0.344
  30 56 02.38500,  -97 42 03.94397,     2795.801,   30 56 02.38500,  -97 42 03.94397,     2795.801, 1266458062.00, -129.974341780,   0.0741751162,   1.1441222324,   -37.960,   -41.505,    -0.483
  30 56 01.03797,  -97 42 05.37462,     2795.229,   30 56 01.03797,  -97 42 05.37462,     2795.229, 1266458063.00, -130.123494153,  -0.0026470650,   1.6229144139,   -38.035,   -41.490,    -0.631
  30 55 59.69184,  -97 42 06.80865,     2794.562,   30 55 59.69184,  -97 42 06.80865,     2794.562, 1266458064.00, -130.150469006,  -0.0392991752,   2.1231753239,   -38.136,   -41.455,    -0.721
  30 55 58.34816,  -97 42 08.24776,     2793.817,   30 55 58.34816,  -97 42 08.24776,     2793.817, 1266458065.00, -129.808161101,  -0.0262013600,   2.8258794118,   -38.323,   -41.319,    -0.733
  30 55 57.01065,  -97 42 09.69556,     2793.059,   30 55 57.01065,  -97 42 09.69556,     2793.059, 1266458066.00, -129.615641552,  -0.0252846275,   3.2782295910,   -38.582,   -41.096,    -0.773
  30 55 55.68125,  -97 42 11.15383,     2792.293,   30 55 55.68125,  -97 42 11.15383,     2792.293, 1266458067.00, -129.335659996,  -0.0330424760,   3.3993242210,   -38.876,   -40.824,    -0.758
  30 55 54.36030,  -97 42 12.62277,     2791.542,   30 55 54.36030,  -97 42 12.62277,     2791.542, 1266458068.00, -128.905953109,  -0.0050534878,   3.1902003554,   -39.148,   -40.575,    -0.750
  30 55 53.04766,  -97 42 14.10171,     2790.832,   30 55 53.04766,  -97 42 14.10171,     2790.832, 1266458069.00, -128.475283653,   0.0974257435,   3.2022267395,   -39.414,   -40.305,    -0.650
  30 55 51.74423,  -97 42 15.59089,     2790.224,   30 55 51.74423,  -97 42 15.59089,     2790.224, 1266458070.00, -128.214593585,   0.1658712817,   3.2619805080,   -39.684,   -40.016,    -0.576
  30 55 50.45036,  -97 42 17.08991,     2789.726,   30 55 50.45036,  -97 42 17.08991,     2789.726, 1266458071.00, -127.956052110,   0.3796475646,   3.2359395762,   -39.937,   -39.717,    -0.374
